"project_ID","Project Description","Allocations for Gender Equality","Expected Outcomes","Internal DP Activity IDs","Final Project Results","Activity Created By","Activity Created On","Activity updated by","Activity updated on","Date of Signed Agreement","Proposed Completion Date","Proposed Start Date","Implementation Level","Country","District","SubDistrict","Suco","Donor Group","Donor Type","Aid Modality","Appropriation Category (Only for Actual Disbursements)","Type Of Assistance","Executing Agency","Executing Agency Groups","Implementing Agency","Implementing Agency Groups","RDTL Beneficiary Institutions","RDTL Beneficiary Institution Divisions","RDTL Beneficiary Agency Division COA","Strategic Development Plan Pillars","Strategic Development Plan Sub-Pillars","Structures Column"
"87292411770","Introducing multifaced community-based maternal and neonatal health services."," ","To reduce the maternal and neonatal mortality rate in Ermera District."," ","Completed in 2009","Government of Japan User (goj@amp.org)","25/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","25/07/2008","24/09/2009","","District Level","Timor-Leste","Ermera","Hatolia","Ailelo","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan","Frontline","International NGO","Ministry of Health"," "," ","SOCIAL CAPITAL","HEALTH","Asulau"
"87292191236","The project is a result of the Basic Design Study undertaken in 2003. The purpose of this project is to extend the Mola Bridge as well as improve the river revetment. The new bridge will be 4-span Steel Truss Bridge of 216 m in length and the Approach Roa"," ","To build new mola bridge for smoother transportation to Suai","","Completed in 2011.","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Cova Lima"," "," ","Japan","Bilateral","Project Support","Capital Development","Grant","Government Of Japan","Japan","Japan International Cooperation Agency","Japan","Ministry of Public Works"," "," ","INFRASTRUCTURE DEVELOPMENT","ROADS AND BRIDGES"," "
"872921011801","To improve some copacities of the MFI to respect the new legislation."," ","The MFI respect the law"," "," ","GS NDAE (gsndae@amp.org)","28/04/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","01/01/2010","31/12/2011","01/01/2010","National","Timor-Leste"," "," "," ","Monaco","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Capital Development","Grant"," - Asia Society
 - Monaco"," - International NGO
 - Monaco","Moris Rasik","Domestic NGO","Ministry of Justice"," "," ","INSTITUTIONAL FRAMEWORK","PUBLIC SECTOR MANAGEMENT AND GOOD GOVERNANCE"," "
"87292191235","This project is to rehabilitate concrete wharf so as to maintain stable and effective function of Dili Port by using Japanese Grant Aid Scheme."," ","To rehabilitate concrete wharf so as to maintain stable and effective function of Dili Port","","Completed in September 2010","AMP Project Manager (atl@amp.org)","02/08/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","District Level","Timor-Leste","Dili"," "," ","Japan","Bilateral","Project Support","Capital Development","Grant","Government Of Japan","Japan","Japan International Cooperation Agency","Japan","Ministry of Transportation and Communication"," "," ","INFRASTRUCTURE DEVELOPMENT","SEA PORTS"," "
"87292411696","Construction of irrigation System"," ","To improve productivity of rice in target area"," ","Completed in 2009","Government of Japan User (goj@amp.org)","22/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Cova Lima","Zumalai","Raimea","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Agriculture and Fisheries"," "," ","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292651543","This project seeks to encourage greater participation in the local media and in national debates about gender, by enabling participants of this workshop to write their own opinion pieces. The workshop will be open to women's organisations, human rights NG"," ","At the conclusion of this workshop, participants will have the confidence to write and revise an original piece of commentary or opinion; and put the piece up for publication.","","60 participants attended training for a period of three weeks. Since the conclusion of the workshop ten articles written by participants have been published in newspapers and online media on topics such as health, gender equality and education.","GS NDAE (gsndae@amp.org)","24/02/2012","GS NDAE (gsndae@amp.org)","19/10/2012","27/10/2010","","","District Level","Timor-Leste","Dili"," "," ","Ireland","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Timor Leste Media Development Centre, DILI","Other","Timor Leste Media Development Centre, DILI","Other","Officer of the Vice Prime Minister, Coordinator of Social Affairs - Secretary State for the Promotion of Equality"," "," ","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292501763","The project is to support the organization of the 2nd National Media Congress organized by the Association of Journalists in Timor-Leste to gather together journal media practitioners to discuss issues concerning the role of media in the development of Ti"," ","Co-financing the organization of two-day National Media Congress in Dili, Timor-Leste held in October 14--15 October 2011.","","The 2-day National Media Congress is held and supported by development partners and gathered media practitioners to reflect upon their role in the development of Timor-Leste.","UNESCO User (unesco@amp.org)","16/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Appropriation Category Unallocated","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations","United Nations Educational, Scientific and Cultural Organization","United Nations","Presidency of the Council of Ministers - Secretary of State for Media"," "," ","SOCIAL CAPITAL","SOCIAL INCLUSION"," "
"87292501841","The project will strengthen the capacities of journalists in human rights reporting including strengthening of their skills as media professional by conducting training activities on international law and human rights; to provide them access to new traini"," ","Strengthened skills of media professional through capacity building activities and training on international law and human rights; to provide access to new training material on human rights reporting, including in local language (Tetum); to initiate plann","","Enhanced capacities of media journalists in human rights reporting.","UNESCO User (unesco@amp.org)","30/04/2012","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support","Appropriation Category Unallocated","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations","United Nations Educational, Scientific and Cultural Organization","United Nations","Presidency of the Council of Ministers - Secretary of State for Media"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292191176","The project is to support 3 printing press for media organizations in developing their capacities in order to further develop the mass media sector of Timor Leste by allowing independent publishers/publications to achieve greater economic independence and"," ","To further develop the mass media sector of Timor Leste by allowing independent publishers/publications to achieve greater economic independence and independent production necessary to consolidate freedom of expression and newspapers' independence","","The 3 printing press/media organizations established an independent press printing shop producing newspapers and journals and has gained economic independence for self-operation.","AMP Project Manager (atl@amp.org)","28/07/2011","GS NDAE (gsndae@amp.org)","19/10/2012","","","","National","Timor-Leste"," "," "," ","United Nations","Multilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","United Nations Educational, Scientific and Cultural Organization","United Nations","United Nations Educational, Scientific and Cultural Organization","United Nations","Presidency of the Council of Ministers - Secretary of State for Media"," "," ","SOCIAL CAPITAL"," - EDUCATION AND TRAINING
 - SOCIAL INCLUSION"," "
"87292401682","Construction of irrigation system"," ","To improve productivity of rice in target area"," ","Completed in 2011","JICA User (jica@amp.org)","20/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Cova Lima","Suai","Debos","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Agriculture and Fisheries"," "," ","ECONOMIC DEVELOPMENT","AGRICULTURE"," "
"87292411693","Construction of the dormitory"," ","To provide safe environment for young people with disability"," ","Completed in 2009","Government of Japan User (goj@amp.org)","21/03/2012","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","","","District Level","Timor-Leste","Dili","Dom Aleixo"," ","Japan","Bilateral","Project Support","Appropriation Category Unallocated","Grant","Government Of Japan","Japan"," "," ","Ministry of Social Solidarity"," "," ","SOCIAL CAPITAL"," - HEALTH
 - SOCIAL INCLUSION","Aimutin 1"
"87292491513","Sending Timorese to Korea and Training  Getting expierince from Korea  Sharing Knowledge and making community with paticipants from other contries"," ","capacity building Human resource development technology transfer","","Participants got knowledge  Made community among those who took part in training in Korea","Korea User (koica@amp.org)","18/11/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","01/05/2010","01/04/2010","National","Timor-Leste"," "," "," ","Korea","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","Korean Educational Development Institute","Korea","Korean Educational Development Institute","Korea","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292491514","Sending Timorese to Korea and Training  Getting expierince from Korea  Sharing Knowledge and making community with paticipants from other contries"," ","capacity building Human resource development technology transfer","","Participants got knowledge  Made community among those who took part in training in Korea","Korea User (koica@amp.org)","18/11/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","01/09/2010","01/08/2010","National","Timor-Leste"," "," "," ","Korea","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","Korean Institute for Gender Equality Promotion and Education","Korea","Korean International Cooperation Agency","Korea","Ministry of Education"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292491515","Sending Timorese to Korea and Training  Getting expierince from Korea  Sharing Knowledge and making community with paticipants from other contries"," ","capacity building Human resource development technology transfer","","Participants got knowledge  Made community among those who took part in training in Korea","Korea User (koica@amp.org)","22/11/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","01/09/2010","","National","Timor-Leste"," "," "," ","Korea","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","Korea Human Resource Development Institute For Health and Welfare","Korea","Korean International Cooperation Agency","Korea","Ministry of Agriculture and Fisheries"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
"87292491516","Sending Timorese to Korea and Training  Getting expierince from Korea  Sharing Knowledge and making community with paticipants from other contries"," ","Capacity building Human resource development technology transfer","","Participants got knowledge  Made community among those who took part in training in Korea","Korea User (koica@amp.org)","22/11/2011","Justin Shone (jshone@mof.gov.tl)","19/10/2012","","01/05/2010","01/04/2010","National","Timor-Leste"," "," "," ","Korea","Bilateral","Project Support"," - Appropriation Category Unallocated
 - Goods or Services","Grant","Korea Human Resource Development Institute For Health and Welfare","Korea","Korean International Cooperation Agency","Korea","Ministry of Health"," "," ","SOCIAL CAPITAL","EDUCATION AND TRAINING"," "
